"catalog","schema","table_name","domain","primary_grain","column_count","is_executable"
"hive","npms","kpi_access5g_5g_cell_peak_view","Network KPI/5G","cell-hour",395,true
"hive","npms","occean_cell","Network KPI/5G","cell-hour",6,true
"hive","npms","kpi_access4g_all_day_normal","Network KPI/5G","hourly",103,true
"hive","npms","kpi_4g_week_view","Network KPI/5G","hourly",12,true
"hive","npms","kpi_coremobile_gmsc_object_tcat_hour_normal","Network KPI/5G","hourly",11,true
"hive","npms","iptv_bad_kqi","Network KPI/5G","hourly",5,true
"hive","npms","iptv_qos_data","Network KPI/5G","snapshot/entity",39,true
"hive","npms","cntt_ram_server_hour","Network KPI/5G","hourly",4,true
"hive","npms","ericsson_vudc_eric_udr_app_counter_grp_hssismactiveusers_group","Network KPI/5G","account-hour",14,true
"hive","npms","ericsson_vudc_eric_udr_app_counter_grp_hssesmusersstored_group","Network KPI/5G","account-hour",14,true
"hive","npms","ericsson_udc_cudb_hssesmactiveusers","Network KPI/5G","account-hour",20,true
"hive","npms","kpi_access3g_all_day_normal","Network KPI/5G","hourly",87,true
"hive","npms","resource_coremobile_weekly_bk","Network KPI/5G","hourly",18,true
"hive","npms","kpi_coremobile_stp_hour_normal","Network KPI/5G","hourly",15,true
"hive","npms","sub_attached_vi_tri","Network KPI/5G","hourly",10,true
"hive","npms","ericsson_vudc_eric_udr_app_counter_grp_hlrfe_hlrsubs_group","Network KPI/5G","hourly",19,true
"hive","npms","cntt_ram_sever_95th","Network KPI/5G","hourly",4,true
"hive","npms","sub_attached_cell","Network KPI/5G","cell-hour",5,true
"hive","npms","bad_cell_table_cssr","Network KPI/5G","cell-hour",30,true
"hive","npms","kpi_4g_3_view","Network KPI/5G","hourly",10,true
"hive","npms","sub_attached_district","Network KPI/5G","hourly",18,true
"hive","npms","kpi_coremobile_gmsc_dpc_object_day_normal","Network KPI/5G","hourly",17,true
"hive","npms","storage_san_pool","Network KPI/5G","hourly",5,true
"hive","npms","kpi_access2g_2g_all_peak_day","Network KPI/5G","hourly",77,true
"hive","npms","viettel_core_smsc_generic","Network KPI/5G","hourly",94,true
"hive","npms","peak_ring_agg","Network KPI/5G","hourly",32,true
"hive","npms","nf_discovery_sr","Network KPI/5G","hourly",6,true
"hive","npms","ericsson_vudc_eric_udr_app_counter_grp_hssesmuserslocation_group","Network KPI/5G","account-hour",18,true
