table_fqn,catalog,schema,table_name,domain,column_name,column_fqn,data_type,data_type_display,is_key_candidate,description
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,object_id,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.object_id,VARCHAR,varchar,True,"[AI Gen] Trường dữ liệu chưa xác định, kiểu VARCHAR. Thường được sử dụng để lưu trữ các thuộc tính tùy biến hoặc thông tin phụ trợ chưa được chuẩn hoá trong bảng KPI."
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,utc_time,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.utc_time,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_add_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_add_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ra_cb_succ,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ra_cb_succ,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_cssr,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_cssr,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,rasr_cbra,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.rasr_cbra,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,en_dc_add_att,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.en_dc_add_att,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_user_throughput_mbps_ts,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_user_throughput_mbps_ts,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,tu_prb_dl,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.tu_prb_dl,VARCHAR,varchar,False,
VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,hive,npms,kpi_access5g_5g_cell_peak_view,Network KPI/5G,ul_user_throughput_mbps,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view.ul_user_throughput_mbps,VARCHAR,varchar,False,
